,label,gender,profession,ideology_binary,ideology_multiclass,tweet
36617,@user10,male,journalist,right,moderate_right,"EE UU y China: Los dos grandes pelean, el mundo se resfría EE UU y China desenfundan la divisa como arma en un conflicto que ya no es solo comercial y para el que no hay visos de acuerdo. Se agravan así los temores a un frenazo de la economía global"
11991,@user10,male,journalist,right,moderate_right,"Sensación Previsible a esta hora: Alegría [POLITICAL_PARTY] Podemos [POLITICAL_PARTY] , preocupación en el [POLITICAL_PARTY] y más alegría q preocupación en [POLITICAL_PARTY]"
40804,@user10,male,journalist,right,moderate_right,"No te salves. no te quedes inmóvil al borde del camino. no congeles el júbilo. no quieras con desgana;. no te salves ahora ni nunca,no te salves. No te llenes de calma. no reserves del mundo . solo un rincón tranquilo. no dejes caer los parpados. pesados como juicios. Mario Benedeti. BBNN"
48101,@user10,male,journalist,right,moderate_right,"Al menos 25 militares venezolanos, todos de bajo rango, han solicitado asilo en la Embajada de Brasil en Caracas, según han confirmado fuentes de la Presidencia brasileña “ Son 25"", han dicho y han explicado que ninguno de ellos es general o pertenece a la cúpula militar."
27627,@user10,male,journalist,right,moderate_right,"Rivera que , con Sanchez ,da una mayoría absoluta de180. Diputados dice q no quiere ningún tipo de acuerdo y que quiere liderar la oposición"
45149,@user10,male,journalist,right,moderate_right,"Pablo Iglesias que , en este momentos,está hablando con el Rey en el turno de consultas para el nombramiento de un candidato a la Presidencia del Gobierno ,le transmitirá que la única forma de estabilidad es una Coalición con Podemos.Con Ciudadanos , le dirá , sería un fraude"
26192,@user10,male,journalist,right,moderate_right,"El Presidente del Gobierno en funciones, Pedro Sánchez, se reunirá el martes, 11 de junio, en el Congreso con los líderes de [POLITICAL_PARTY],Ciudadanos y [POLITICAL_PARTY], por este orden,en la ronda de contactos para la investidura Estos tres partidos son los q pueden facilitarla o bloquearla"
13931,@user10,male,journalist,right,moderate_right,"El [POLITICAL_PARTY] supera el 40% en intención directa de voto, seguido del [POLITICAL_PARTY], con el 13,7%, según el CIS Los [POLITICAL_PARTY] subirían casi 12 puntos respecto al 28-A; Podemos lograría el 13,1% de los votos, [POLITICAL_PARTY] el 12,3% y [POLITICAL_PARTY] el 4,6%"
40666,@user10,male,journalist,right,moderate_right,"Trump quiere comprar Groenlandia a Dinamarca y los políticos daneses se mofan Si es cierto que está pensando en eso, es una muestra definitiva de que se ha vuelto loco"", ha respondido Søren Espersen, portavoz en Asuntos Exteriores del [POLITICAL_PARTY] Danés"
672,@user10,male,journalist,right,moderate_right,Al menos un muerto y tres heridos en una sinAgoga de San Diego California. .Un hombre blanco adulto entró al templo y con un arma tipo AR comenzó a disparar contra los asistentes gente. Una persona fue detenida y esta siendo interrogada
26455,@user10,male,journalist,right,moderate_right,"[POLITICAL_PARTY] ha cancelado ""sine die"" sus reuniones con el [POLITICAL_PARTY] para negociar la investidura de la 'popular' Isabel Díaz Ayuso como presidenta de la Comunidad de Madrid. ""Si estamos hablando de socios que no son fiables no tendrá ningún sentido volverse a sentar"", ha dicho Rocío Monasterio."
263,@user10,male,journalist,right,moderate_right,"La Guardia Civil ha detenido en el aeropuerto de Sevilla a un militar brasileño q forma parte de una expedición de avanzadilla previa al viaje programado a Japón por el presidente brasileño, Jair Bolsonaro, al ser descubierto q portaba 39 Kilos kilogramos de cocaína en su maleta"
9418,@user10,male,journalist,right,moderate_right,"El CIS de Tezanos acertó Un rápido análisis del sondeo del 9 de abril, que contenía horquillas muy anchas y daba una cifra altísima de indecisos, revela un gran parecido entre aquel y los resultados de este 28 de abril"
41475,@user10,male,journalist,right,moderate_right,"Pedro Sánchez, Pablo Casado, Albert Rivera y Pablo Iglesias, además de Susana Díaz, el portavoz en el Senado, Ander Gil y la portavoz en el Congreso Adriana Lastra se han sumado a la preocupación por el estado deSalud de Rubalcaba y su pronta recuperación"
44962,@user10,male,journalist,right,moderate_right,"""Habría un escenario q podría reconsiderar esto,y es que la sentencia fuera absolutoria . Bueno es una posibilidad , yo no voy a entrar en eso "" ( Esta es la frase textual pronunciada por el presidente del Senado. Todo lo demás es un titular de El País que no responde al texto)"
9541,@user10,male,journalist,right,moderate_right,"Las autoridades de Hong Kong cancelaron todos sus vuelos,después de q 5.000 manifestantes ocuparan la terminal del aeropuerto internacional por cuarto día y debido a las cancelaciones, por""una gran cantidad de manifestantes impidieron q los pasajeros pudieran facturar"""
45903,@user10,male,journalist,right,moderate_right,"La pandilla de millonarios de Jeff Bezos navega por Baleares en un barco q tiene cinco cubiertas y 82 habitaciones con jacuzzi, un spa, una bodega, cine privado con pantalla gigante de plasma y hasta una cancha de baloncesto."
26898,@user10,male,journalist,right,moderate_right,"Juan Sebastián Elcano, el vasco que se rebeló contra Magallanes y terminó culminando su gesta A bordo de la nave 'Victoria' fue el primer hombre en dar la vuelta al mundo demostrando que la Tierra era esférica."
42853,@user10,male,journalist,right,moderate_right,Frente a los ataques a la falta de independencia de laJystivia: Un juzgado de lo Contencioso de Madrid da el visto bueno a que el expresidente de la Generalitat Puigdemont y otros dos exconsejeros fugados Toni Comin y Clara Ponsati concurran a las Elecciones europeas
9177,@user10,male,journalist,right,moderate_right,"Tu pensamiento me hace. inteligente, y en tu sencilla. ternura, yo soy también sencillo. y bondadoso. Pero si tú me olvidas. quedaré muerto sin que nadie. lo sepa. Verán viva. mi carne, pero será otro hombre. —oscuro, torpe, malo— el que la habita... . Ángel González . Buenas Noches"
18015,@user10,male,journalist,right,moderate_right,"“Todo su proyecto político se resume en una máxima: cuanto peor mejor para todos y cuanto peor para todos mejor, mejor para mí el suyo. Beneficio político Ademas un vaso es un vaso y un plato es un plato"" y los españoles son muy españoles y mucho españoles” M.Rajoy"
14898,@user10,male,journalist,right,moderate_right,"Monasterio cree que el Orgullo es una “caricatura denigrante” de las personas LGTBI Cuando una madre y un padre salen a la calle del portal de su casa no tienen por qué encontrarse con ese espectáculo”, dice la líder del partido de ultraderecha"
35406,@user10,male,journalist,right,moderate_right,"La candidata de [POLITICAL_PARTY] a la Comunidad de Madrid, Rocío Monasterio, ha anunciado q hay un ""preacuerdo"" para la Mesa de la Asamblea y ha dicho q Ciudadanos tendrá q olvidarse del ""asquito"" que, le produce la formación de Santiago Abascal porque hoy mismo, van a ""firmar acuerdos""."
