Topic	PC	Keywords	Text	label	tweet
11.0	0.1414	europa, fuerza, seguridad, canario, nacional, seguro, mantener, ayudar, foto, dificil, internacional, esperanza, puerta, guerra, agradecer, mostrar, condicion, solidaridad, labor, campo	['chino', 'pelear', 'resfrir', 'chino', 'desenfundar', 'divisa', 'arma', 'conflicto', 'ial', 'viso', 'acuerdo', 'agravar', 'temor', 'frenazo', 'economia', 'global']	@user10	EE UU y China: Los dos grandes pelean, el mundo se resfría EE UU y China desenfundan la divisa como arma en un conflicto que ya no es solo comercial y para el que no hay visos de acuerdo. Se agravan así los temores a un frenazo de la economía global
8.0	0.1123	familia, vida, amigo, compañero, casa, hijo, apoyo, recordar, padre, sentir, muerte, fuerte, morir, abrazo, madre, miedo, sufrir, paz, querido, pena	['sensacion', 'previsible', 'alegria', 'preocupacion', 'alegria', 'preocupacion']	@user10	Sensación Previsible a esta hora: Alegría [POLITICAL_PARTY] Podemos [POLITICAL_PARTY] , preocupación en el [POLITICAL_PARTY] y más alegría q preocupación en [POLITICAL_PARTY]
7.0	0.119	calle, enhorabuena, equipo, feliz, celebrar, honor, alcalde, vecino, cultura, programa, obra, noche, provincia, suerte, participar, compartir, historia, acompañar, visitar, ayuntamiento	['salvar', 'inmovil', 'borde', 'camino', 'congelar', 'jubilo', 'querer', 'desgana', 'salvar', 'salvar', 'llenar', 'calma', 'reservar', 'rincon', 'tranquilo', 'parpado', 'pesado', 'juicio', 'mario']	@user10	No te salves. no te quedes inmóvil al borde del camino. no congeles el júbilo. no quieras con desgana;. no te salves ahora ni nunca,no te salves. No te llenes de calma. no reserves del mundo . solo un rincón tranquilo. no dejes caer los parpados. pesados como juicios. Mario Benedeti. BBNN
11.0	0.133	europa, fuerza, seguridad, canario, nacional, seguro, mantener, ayudar, foto, dificil, internacional, esperanza, puerta, guerra, agradecer, mostrar, condicion, solidaridad, labor, campo	['militar', 'venezolano', 'rango', 'solicitar', 'asilo', 'embajada', 'brasil', 'caraca', 'confirmar', 'fuente', 'presidencia', 'brasileño', 'explicar', 'pertenecer', 'cupula', 'militar']	@user10	"Al menos 25 militares venezolanos, todos de bajo rango, han solicitado asilo en la Embajada de Brasil en Caracas, según han confirmado fuentes de la Presidencia brasileña “ Son 25"", han dicho y han explicado que ninguno de ellos es general o pertenece a la cúpula militar."
1.0	0.1499	partido, votar, derecha, voto, eleccion, ganar, izquierda, perder, cataluña, gobernar, mayoria, campaña, interes, gobierno, favor, mocion, oposicion, catalan, pacto, pactar	['mayoria', 'absoluto', 'diputado', 'querer', 'tipo', 'acuerdo', 'querer', 'liderar', 'oposicion']	@user10	Rivera que , con Sanchez ,da una mayoría absoluta de180. Diputados dice q no quiere ningún tipo de acuerdo y que quiere liderar la oposición
1.0	0.1624	partido, votar, derecha, voto, eleccion, ganar, izquierda, perder, cataluña, gobernar, mayoria, campaña, interes, gobierno, favor, mocion, oposicion, catalan, pacto, pactar	['rey', 'turno', 'consulta', 'nombramiento', 'candidato', 'presidencia', 'gobierno', 'transmitir', 'forma', 'estabilidad', 'coalicion', '.con', 'fraude']	@user10	Pablo Iglesias que , en este momentos,está hablando con el Rey en el turno de consultas para el nombramiento de un candidato a la Presidencia del Gobierno ,le transmitirá que la única forma de estabilidad es una Coalición con Podemos.Con Ciudadanos , le dirá , sería un fraude
0.0	0.1625	gobierno, congreso, ministro, comision, europeo, pleno, diputado, presentar, explicar, gestion, apoyar, exigir, grupo, propuesta, debate, mesa, aprobar, alarma, consejo, presupuesto	['presidente', 'gobierno', 'funcion', 'reunir', 'martes', 'congreso', 'lider', 'orden', 'ronda', 'contacto', 'investidura', 'partido', 'facilitar', 'bloquear']	@user10	El Presidente del Gobierno en funciones, Pedro Sánchez, se reunirá el martes, 11 de junio, en el Congreso con los líderes de [POLITICAL_PARTY],Ciudadanos y [POLITICAL_PARTY], por este orden,en la ronda de contactos para la investidura Estos tres partidos son los q pueden facilitarla o bloquearla
1.0	0.1308	partido, votar, derecha, voto, eleccion, ganar, izquierda, perder, cataluña, gobernar, mayoria, campaña, interes, gobierno, favor, mocion, oposicion, catalan, pacto, pactar	['superar', 'intencion', 'directo', 'voto', 'seguido', 'cis', 'subir', 'punto', 'lograr', 'voto']	@user10	El [POLITICAL_PARTY] supera el 40% en intención directa de voto, seguido del [POLITICAL_PARTY], con el 13,7%, según el CIS Los [POLITICAL_PARTY] subirían casi 12 puntos respecto al 28-A; Podemos lograría el 13,1% de los votos, [POLITICAL_PARTY] el 12,3% y [POLITICAL_PARTY] el 4,6%
0.0	0.1142	gobierno, congreso, ministro, comision, europeo, pleno, diputado, presentar, explicar, gestion, apoyar, exigir, grupo, propuesta, debate, mesa, aprobar, alarma, consejo, presupuesto	['querer', 'comprar', 'groenlandia', 'dinamarca', 'politico', 'danes', 'mofar', 'muestra', 'definitivo', 'loco.', 'responder', 'soren', 'espersen', 'portavoz', 'asunto', 'exterior', 'danes']	@user10	"Trump quiere comprar Groenlandia a Dinamarca y los políticos daneses se mofan Si es cierto que está pensando en eso, es una muestra definitiva de que se ha vuelto loco"", ha respondido Søren Espersen, portavoz en Asuntos Exteriores del [POLITICAL_PARTY] Danés"
8.0	0.1404	familia, vida, amigo, compañero, casa, hijo, apoyo, recordar, padre, sentir, muerte, fuerte, morir, abrazo, madre, miedo, sufrir, paz, querido, pena	['muerto', 'herido', 'sinagoga', 'diego', 'californio', 'hombre', 'blanco', 'adulto', 'templo', 'arma', 'tipo', 'comenzar', 'disparar', 'asistente', 'detener', 'interrogar']	@user10	Al menos un muerto y tres heridos en una sinAgoga de San Diego California. .Un hombre blanco adulto entró al templo y con un arma tipo AR comenzó a disparar contra los asistentes gente. Una persona fue detenida y esta siendo interrogada
